iter	RMSE
0	1092.068546
1	1039.294086
2	990.9645676
3	943.9437894
4	902.0167368
5	862.7152204
6	825.937167477	791.859157488	760.517719499	731.0646167110	703.316488
11	677.2889863
12	652.7150988
13	631.2111027
14	611.2505693
15	592.195084
16	574.812287
17	558.6078333
18	544.0592615
19	530.7852226
20	518.2670437
21	506.8149323
22	497.0302952
23	487.6019858
24	479.0977915
25	471.2447085
26	463.9220807
27	457.360562
28	451.7915351
29	446.77357
30	441.9522524
31	437.9726834
32	434.1482722
33	430.614202
34	427.4079274
35	424.4044913
36	421.7983986
37	419.3075721
38	417.2404462
39	415.5163838
40	413.9859814
41	412.4129441
42	410.8525995
43	409.7014628
44	408.4357305
45	407.2644189
46	406.455976
47	405.5598134
48	404.8832723
49	404.1221974
50	403.4331965
51	402.7731952
52	402.1484623
53	401.7023828
54	401.2562619
55	400.9322588
56	400.5494114
57	400.1384733
58	399.8193808
59	399.577729
60	399.3995558
61	399.1529268
62	398.9876334
63	398.774218
64	398.5285896
65	398.4010539
66	398.2427566
67	398.0295407
68	397.8274214
69	397.6528184
70	397.5607945
71	397.4448112
72	397.3238532
73	397.2077591
74	397.0509745
75	396.9564735
76	396.8745743
77	396.7786766
78	396.7122698
79	396.6209153
80	396.5678419881	396.5190579882	396.4270605883	396.3542384884	396.3023045885	396.2472417886	396.1887787887	396.1200079888	396.06583
89	396.0148192
90	395.9680512
91	395.9353051
92	395.883068
93	395.84468
94	395.7868904
95	395.7506922
96	395.7245886
97	395.6795439
98	395.6385124
99	395.6074407
100	395.5636376
101	101	395.6627102	395.5041387
103	103	395.6291104	104	395.6002105	105	395.5680106	106	395.5277107107	395.4931108	108	395.4754109	109	395.4479110	110	395.4104111	111	395.3901112112	395.3748511113	395.34611511114	395.31364011115	395.2769197
116	395.2351911
117	395.22789118118	395.21416119119	395.1961492
120	395.1687227
121	395.1307896
122	395.0992201
123	395.0755383
124	395.0568164
125	395.0494236
126	395.03603127127	395.02622128128	395.01458129129	394.9940130	130	394.9834131	131	394.9700132	132	394.9612133	133	394.8925134	134	394.8766135	135	394.8730136	136	394.8451137	137	394.8414138	394.4052211
139	139	394.7896140	394.3846148
141	394.3250614
142	394.3029143
143	394.2859701
144	394.2604548
145	394.2585511
146	394.2481181
147	394.2269339
148	394.2139694
14149	394.58065415150	394.54440151151	394.5015215152	394.43914215153	394.40924315154	394.38452015155	394.34164156156	394.2904157	157	394.2332431
158	394.2058159	159	394.1388160	160	394.1352161	161	394.0772162	162	394.0356163	163	393.9481164	164	393.9115165	165	393.8862166	166	393.856167	3167	393.794168	3168	393.777169	3169	393.725170	3170	393.707171	3171	393.648172	3172	393.577173	3173	393.529174	3174	393.500175	3175	393.451176	3176	393.410177	3177	393.381178	3178	393.339179	179	393.3111180	180	393.2822181	181	393.2377182	182	393.205183	3183	393.162184	3184	393.149185	3185	393.10186	39186	393.07187	39187	393.04188	39188	393.0189	392189	392.9190	392190	392.9191	392191	392.9192	392192	392.9193	392193	392.8194	392194	392.195	392.195	392.196	392.196	392.197	392.197	392.198	392.198	392.199	392.199	392.200	392.200	392201	391.9201	392202	391.202	392.203	391.203	392.204	391204	392.4205	391205	392.4206	391206	392.3207	391207	392.3208	391208	392.2209	39209	392.23210	39210	392.2211	391211	392.1212	391212	392.1213	391213	392.1214	391214	392.1215	391215	392.0216	39216	392.03217	39217	392.00218	39218	391.98219	3219	391.955220	3220	391.890221	3221	391.832222	3222	391.801223	3223	391.774224	3224	391.74225	39225	391.71226	39226	391.69227	39227	391.6228	391228	391.6229	390229	391.6230	390230	391.5231	390231	391.5232	390232	391.4233	390233	391.4234	390234	391.3235	390235	391.3236	390236	391.2237	390237	391.2238	390238	391.2239	390239	391.1240	390240	391.1241	39241	391.12242	39242	391.03243	39243	391.0244	390244	390.9245	390245	390.9246	390246	390.8247	390247	390.8248	390248	390.8249	390249	390250	390.2250	39251	390.14251	39252	390.08252	39253	390.04253	39254	389.98254	39255	389.94255	39256	389.88256	39257	389.8257	390258	389.8258	390259	389.7259	390260	389.6260	390261	389.6261	390262	389.5262	390263	389.5263	390264	389.5264	39265	389.5265	390266	389.4266	390267	389.267	390.268	389.268	390.269	389.269	390270	389.3270	390271	389.2271	390272	389.2272	389273	389.2273	389274	389.274	389.9007126
275	389.276	389.276	389.277	389.277	389.278	389.278	389.279	389.279	389.280	389.280	389.281	388.281	389.282	388.282	389.283	388.283	389.6183066
