iter	Passed	Remaining
0	4	4767
1	9	4819
2	13	4544
3	17	4287
4	20	4121
5	25	4201
6	30	4284
7	34	4293
8	38	4212
9	42	4189
10	45	4095
11	48	4014
12	52	3952
13	55	3922
14	58	3870
15	62	3820
16	65	3772
17	68	3743
18	72	3735
19	75	3697
20	78	3661
21	81	3632
22	84	3601
23	88	3618
24	92	3589
25	95	3563
26	98	3534
27	101	3509
28	105	3519
29	108	3501
30	111	3478
31	114	3457
32	117	3440
33	121	3439
34	124	3434
35	127	3416
36	130	3400
37	133	3382
38	137	3388
39	140	3373
40	143	3360
41	146	3347
42	149	3332
43	157	3416
44	161	3436
45	165	3433
46	170	3451
47	174	3453
48	177	3450
49	181	3449
50	189	3532
51	194	3544
52	198	3540
53	203	3557
54	206	3543
55	209	3526
56	212	3510
57	215	3504
58	219	3504
59	222	3492
60	225	3465
61	228	3450
62	230	3424
63	234	3423
64	237	3410
65	239	3386
66	241	3362
67	244	3352
68	248	3351
69	251	3344
70	254	3333
71	257	3322
72	260	3305
73	264	3303
74	267	3295
75	270	3285
76	273	3275
77	276	3267
78	279	3261
79	283	3257
80	285	3243
81	288	3234
82	292	3226
83	295	3220
84	298	3213
85	301	3205
86	304	3197
87	307	3190
88	311	3183
89	314	3180
90	317	3173
91	319	3157
92	323	3150
93	326	3143
94	330	3143
95	333	3137
96	336	3129
97	339	3121
98	341	3112
99	345	3113
100	350	3122
10101	358	315102	356	3101
10103	364	31310104	367	31310105	371	31210106	374	31210107	377	31110108	379	31010109	383	31011110	386	30911111	389	30811112	392	30811113	395	30711114	399	30711115	402	3070
116	406	3065
117	408	30511118	410	30411119	414	3040
120	417	3035
121	420	3029
122	423	3022
123	426	3016
124	430	3014
125	434	3013
126	436	30012127	439	29912128	442	29812129	445	29813130	448	29713131	451	29613132	453	29513133	456	29513134	459	29413135	462	29313136	465	29313137	468	292138	464	2879
13139	473	290140	469	2862
141	473	2861
142	476	2856
143	479	2850
144	482	2845
145	484	2833
146	489	2837
147	492	2836
148	495	2828
14149	503	28515150	506	28415151	510	28415152	514	28515153	517	28415154	521	28415155	524	28315156	528	28315157	531	2833
